DRK,TEAM,YDSA,YDSAG,PASSA,P YDSAG,RUSHA,R YDSAG,PTSA,PTSAG
1,Louisville,3280,252,2220,170.8,1060,81.5,158,12.2
2,Michigan State,3527,252,2319,165.6,1208,86.3,185,13.2
3,Virginia Tech,3687,284,2245,172.7,1442,110.9,251,19.3
4,Alabama,3725,287,2344,180.3,1381,106.2,181,13.9
5,Florida,3771,314,2062,171.8,1709,142.4,253,21.1
6,Florida Atlantic,3874,323,1928,160.7,1946,162.2,267,22.3
7,Florida State,3940,281,2193,156.6,1747,124.8,170,12.1
8,Iowa,3940,303,2271,174.7,1669,128.4,246,18.9
9,Wisconsin,3966,305,2633,202.5,1333,102.5,212,16.3
10,Western Kentucky,4070,339,2135,177.9,1935,161.3,295,24.6
11,Cincinnati,4103,316,2745,211.2,1358,104.5,273,21
12,South Florida,4209,351,2532,211,1677,139.8,343,28.6
13,TCU,4277,356,2707,225.6,1570,130.8,303,25.3
14,Wake Forest,4394,366,2676,223,1718,143.2,289,24.1
15,LSU,4429,341,2567,197.5,1862,143.2,286,22
16,Memphis,4448,371,3052,254.3,1396,116.3,295,24.6
17,Bowling Green,4500,321,2392,170.9,2108,150.6,222,15.9
18,UTSA,4516,376,2799,233.3,1717,143.1,316,26.3
19,North Texas,4528,348,2961,227.8,1567,120.5,231,17.8
20,Mississippi State,4541,349,2667,205.2,1874,144.2,299,23
21,South Carolina,4550,350,2550,196.2,2000,153.8,264,20.3
22,Oklahoma,4552,350,2763,212.5,1789,137.6,287,22.1
23,Tulane,4562,351,2964,228,1598,122.9,278,21.4
24,Penn State,4576,381,2848,237.3,1728,144,314,26.2
25,South Alabama,4611,384,2695,224.6,1916,159.7,302,25.2
26,Vanderbilt,4612,355,2690,206.9,1922,147.8,320,24.6
27,Connecticut,4615,385,2990,249.2,1625,135.4,363,30.3
28,Utah State,4630,331,3138,224.1,1492,106.6,239,17.1
29,Clemson,4637,357,2613,201,2024,155.7,288,22.2
30,Kansas State,4665,359,2857,219.8,1808,139.1,298,22.9
31,Georgia Tech,4683,360,3178,244.5,1505,115.8,297,22.8
32,Baylor,4684,360,2794,214.9,1890,145.4,306,23.5
33,USC,4693,335,3004,214.6,1689,120.6,297,21.2
34,UCF,4706,362,3114,239.5,1592,122.5,277,21.3
35,Notre Dame,4760,366,2576,198.2,2184,168,291,22.4
36,Texas State,4760,397,2991,249.3,1769,147.4,328,27.3
37,Akron,4764,397,2795,232.9,1969,164.1,343,28.6
38,Utah,4772,398,3208,267.3,1564,130.3,336,28
39,Syracuse,4773,367,2987,229.8,1786,137.4,330,25.4
40,Pittsburgh,4778,368,2841,218.5,1937,149,353,27.2
41,North Carolina State,4793,399,2631,219.3,2162,180.2,362,30.2
42,East Carolina,4794,369,3277,252.1,1517,116.7,322,24.8
43,Stanford,4804,343,3553,253.8,1251,89.4,266,19
44,Oregon,4811,370,2659,204.5,2152,165.5,266,20.5
45,Ole Miss,4816,370,2802,215.5,2014,154.9,308,23.7
46,Nebraska,4820,371,2790,214.6,2030,156.2,323,24.8
47,Michigan,4829,371,3007,231.3,1822,140.2,349,26.8
48,Virginia,4843,404,2795,232.9,2048,170.7,399,33.3
49,Minnesota,4852,373,2796,215.1,2056,158.2,289,22.2
50,Central Michigan,4862,405,2447,203.9,2415,201.3,343,28.6
51,Maryland,4867,374,2926,225.1,1941,149.3,329,25.3
52,Georgia,4882,376,2956,227.4,1926,148.2,377,29
53,Louisiana Tech,4899,408,2562,213.5,2337,194.8,315,26.3
54,Kent State,4919,410,2533,211.1,2386,198.8,323,26.9
55,BYU,4925,379,2846,218.9,2079,159.9,287,22.1
56,Army,4930,411,2370,197.5,2560,213.3,379,31.6
57,SMU,4951,413,3262,271.8,1689,140.8,400,33.3
58,Arkansas,4961,413,2818,234.8,2143,178.6,369,30.8
59,Buffalo,4976,383,2810,216.2,2166,166.6,317,24.4
60,Oklahoma State,5004,385,3153,242.5,1851,142.4,281,21.6
61,UCLA,5017,386,2829,217.6,2188,168.3,301,23.2
62,San Diego State,5020,386,3312,254.8,1708,131.4,412,31.7
63,Tennessee,5021,418,2533,211.1,2488,207.3,348,29
64,Western Michigan,5030,419,2030,169.2,3000,250,425,35.4
65,Washington,5051,389,2954,227.2,2097,161.3,297,22.8
66,Toledo,5061,422,3016,251.3,2045,170.4,343,28.6
67,Northwestern,5082,424,3074,256.2,2008,167.3,325,27.1
68,Rice,5097,364,2838,202.7,2259,161.4,342,24.4
69,Louisiana-Lafayette,5116,394,3157,242.8,1959,150.7,344,26.5
70,Louisiana-Monroe,5122,427,2851,237.6,2271,189.3,362,30.2
71,Kentucky,5126,427,2758,229.8,2368,197.3,374,31.2
72,Navy,5132,395,2807,215.9,2325,178.8,317,24.4
73,Tulsa,5155,430,2768,230.7,2387,198.9,407,33.9
74,Florida International,5156,430,2691,224.3,2465,205.4,444,37
75,Marshall,5160,369,2913,208.1,2247,160.5,321,22.9
76,Kansas,5191,433,2904,242,2287,190.6,382,31.8
77,Massachusetts,5199,433,2613,217.8,2586,215.5,396,33
78,Arizona State,5213,372,3286,234.7,1927,137.6,373,26.6
79,Arizona,5214,401,3032,233.2,2182,167.8,315,24.2
80,Southern Miss,5226,436,2531,210.9,2695,224.6,503,41.9
81,Middle Tennessee,5240,403,2644,203.4,2596,199.7,341,26.2
82,North Carolina,5241,403,2869,220.7,2372,182.5,318,24.5
83,Ohio,5276,406,2833,217.9,2443,187.9,357,27.5
84,Ohio State,5284,377,3752,268,1532,109.4,317,22.6
85,Texas,5294,407,2914,224.2,2380,183.1,336,25.8
86,Rutgers,5366,413,4056,312,1310,100.8,387,29.8
87,Arkansas State,5366,413,3028,232.9,2338,179.8,340,26.2
88,Boise State,5374,413,3240,249.2,2134,164.2,323,24.8
89,Ball State,5380,414,2841,218.5,2539,195.3,321,24.7
90,Houston,5405,416,3468,266.8,1937,149,283,21.8
91,Old Dominion,5426,452,3063,255.3,2363,196.9,408,34
92,Texas Tech,5441,419,2822,217.1,2619,201.5,397,30.5
93,West Virginia,5460,455,3160,263.3,2300,191.7,400,33.3
94,San José St,5511,459,2971,247.6,2540,211.7,421,35.1
95,Purdue,5519,460,2694,224.5,2825,235.4,456,38
96,Miami (FL),5543,426,3248,249.8,2295,176.5,348,26.8
97,Iowa State,5557,463,2869,239.1,2688,224,432,36
98,Boston College,5557,427,3479,267.6,2078,159.8,376,28.9
99,Georgia State,5585,465,2930,244.2,2655,221.3,440,36.7
100,Fresno State,5600,431,3674,282.6,1926,148.2,394,30.3
101,Colorado,5616,468,3114,259.5,2502,208.5,459,38.3
102,UTEP,5620,468,2646,220.5,2974,247.8,472,39.3
103,UNLV,5632,433,2830,217.7,2802,215.5,414,31.8
104,Oregon State,5676,437,3202,246.3,2474,190.3,408,31.4
105,Temple,5683,474,3583,298.6,2100,175,358,29.8
106,Illinois,5778,482,2915,242.9,2863,238.6,425,35.4
107,Wyoming,5784,482,3142,261.8,2642,220.2,440,36.7
108,Troy,5798,483,3763,313.6,2035,169.6,431,35.9
109,Northern Illinois,5808,415,3684,263.1,2124,151.7,351,25.1
110,Miami (OH),5811,484,3131,260.9,2680,223.3,428,35.7
111,Colorado State,5828,416,3860,275.7,1968,140.6,417,29.8
112,Missouri,5848,418,3703,264.5,2145,153.2,323,23.1
113,Duke,5852,418,3414,243.9,2438,174.1,373,26.6
114,Air Force,5883,490,2876,239.7,3007,250.6,480,40
115,Auburn,5890,421,3620,258.6,2270,162.1,346,24.7
116,Hawaii,5936,495,3373,281.1,2563,213.6,465,38.8
117,Washington State,5954,458,3520,270.8,2434,187.2,423,32.5
118,UAB,5974,498,3318,276.5,2656,221.3,525,43.8
119,Nevada,6064,505,2962,246.8,3102,258.5,413,34.4
120,Eastern Michigan,6130,511,3031,252.6,3099,258.3,542,45.2
121,Texas A&M,6185,476,3295,253.5,2890,222.3,419,32.2
122,New Mexico,6199,517,3113,259.4,3086,257.2,513,42.8
123,Idaho,6331,528,3790,315.8,2541,211.8,561,46.8
124,Indiana,6335,528,3482,290.2,2853,237.8,466,38.8
